location,city,country,utc,local,latitude,longitude,no2,co,pm25,pm10,o3,unit,attribution
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T04:45:00.000Z,2020-04-30T10:15:00+05:30,28.6573814,77.1585447,18.81,1750,54.45,0,4.24,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T03:15:00.000Z,2020-04-30T08:45:00+05:30,28.6573814,77.1585447,23.96,1980,22.02,0,0.69,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T03:00:00.000Z,2020-04-30T08:30:00+05:30,28.6573814,77.1585447,18.12,1970,16.66,0,6.72,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T02:30:00.000Z,2020-04-30T08:00:00+05:30,28.6573814,77.1585447,14.92,1950,12.45,0,6.4,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T02:15:00.000Z,2020-04-30T07:45:00+05:30,28.6573814,77.1585447,11.91,1970,4.36,0,5.2,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T00:15:00.000Z,2020-04-30T05:45:00+05:30,28.6573814,77.1585447,16.35,1920,50.77,0,10.36,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T00:00:00.000Z,2020-04-30T05:30:00+05:30,28.6573814,77.1585447,10.38,1890,55.24,0,12.7,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T22:30:00.000Z,2020-04-30T04:00:00+05:30,28.6573814,77.1585447,11.46,1750,52.73,0,6.77,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T22:00:00.000Z,2020-04-30T03:30:00+05:30,28.6573814,77.1585447,11.99,1770,47.55,0,5.7,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T19:45:00.000Z,2020-04-30T01:15:00+05:30,28.6573814,77.1585447,14.2,1890,18.8,0,8.06,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T10:15:00.000Z,2020-04-29T15:45:00+05:30,28.6573814,77.1585447,11.16,1990,24.6,0,16.86,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T10:00:00.000Z,2020-04-29T15:30:00+05:30,28.6573814,77.1585447,11.05,1960,25.16,0,19.72,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T09:30:00.000Z,2020-04-29T15:00:00+05:30,28.6573814,77.1585447,12.01,1970,8.12,0,19.17,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T09:00:00.000Z,2020-04-29T14:30:00+05:30,28.6573814,77.1585447,11.71,1990,12.43,0,14.18,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T08:00:00.000Z,2020-04-29T13:30:00+05:30,28.6573814,77.1585447,12,2010,14.82,0,16.19,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T07:30:00.000Z,2020-04-29T13:00:00+05:30,28.6573814,77.1585447,11.87,1990,50.78,0,9.14,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
